date,sentiment,total_volume,total_pnl,trade_count
2024-08-03,Fear,71917.87894000001,464.1897,37
2024-08-04,Fear,227049.7193107,-122672.000883,127
2024-08-05,Fear,422142.75432,-13013.665169,80
2024-08-06,Extreme Fear,305641.96643,267.318048,107
2024-08-07,Fear,29210.93451012,188.789255,33
2024-08-08,Extreme Fear,14545.8545382,-40.712216999999995,9
2024-08-09,Neutral,84372.3108,18082.071276,144
2024-08-10,Fear,155667.97957,0.0,88
2024-08-11,Fear,95524.24650000001,847.7766200000001,24
2024-08-12,Fear,59463.483204000004,858.6705000000001,48
2024-08-13,Fear,147711.88290362002,212.08102,23
2024-08-14,Fear,73630.204824,2168.9015130000003,25
2024-08-15,Fear,47151.0,0.0,12
2024-08-16,Fear,68634.52886,825.230544,35
2024-08-17,Fear,178685.85,-288.283113,30
2024-08-18,Fear,23.72880553,307.201888,15
2024-08-19,Fear,1.71498,339.69958299999996,8
2024-08-20,Fear,8076.92,192.602844,12
2024-08-21,Fear,44587.9221,656.200925,145
2024-08-23,Fear,23.667,1005.30527,10
2024-08-24,Greed,5.73838,0.0,7
2024-08-25,Neutral,55163.47627,0.0,17
2024-08-26,Greed,140.9642,231.236918,6
2024-08-27,Neutral,87488.24118,0.0,50
2024-08-28,Fear,19.876250000000002,1333.359645,9
2024-08-29,Fear,0.1644,0.0,1
2024-08-30,Fear,5449.0260444,256.464,6
2024-08-31,Fear,23355.38432,10.882801,34
2024-09-01,Fear,5846.961139999999,137.433093,12
2024-09-02,Fear,12.3657,0.0,2
2024-09-04,Fear,52210.38311,1065.785132,34
2024-09-05,Fear,10818.93703,0.0,1
2024-09-06,Extreme Fear,1449.6331,-1104.856765,42
2024-09-08,Fear,0.93414,0.0,1
2024-09-09,Fear,349080.0,0.0,2
2024-09-10,Fear,66673.7621,-219.729659,3
2024-09-11,Fear,35870.82982,0.0,1
2024-09-14,Neutral,88358.33644,0.0,11
2024-09-18,Neutral,81796.0,-878.684794,145
2024-09-19,Neutral,81738.0,0.0,19
2024-09-20,Neutral,7603.34105,9585.03428,16
2024-09-21,Neutral,38533.5,36165.56933,23
2024-09-22,Neutral,0.31897,0.0,3
2024-09-23,Neutral,0.6335,334.760796,2
2024-09-24,Neutral,36943.229999999996,0.0,10
2024-09-25,Greed,670.29859,0.0,9
2024-09-26,Neutral,8342.780780000001,439.812513,8
2024-09-27,Greed,6413.993329999999,0.0,56
2024-09-28,Greed,7119.320000000001,0.0,4
2024-09-30,Greed,9188.664999999999,2710.626288,106
2024-10-01,Neutral,2.25636,0.0,4
2024-10-02,Fear,1.64099,0.0,4
2024-10-03,Fear,3777.99039,100.375782,9
2024-10-04,Fear,307.367829,0.0,1
2024-10-05,Neutral,2278.873416,5767.161892,37
2024-10-06,Neutral,4.8180499999999995,130.487079,22
2024-10-07,Neutral,3.4539,0.0,21
2024-10-08,Neutral,414.530151,5396.546638,36
2024-10-09,Neutral,3.5594,396.06272,14
2024-10-10,Fear,5.04899,0.0,16
2024-10-11,Fear,4520.60588,8885.327477,26
2024-10-12,Neutral,2.54599,541.55471,10
2024-10-13,Neutral,0.95706,0.0,10
2024-10-14,Neutral,0.95706,1913.61958,5
2024-10-15,Greed,1.22058,1170.2260760000001,7
2024-10-16,Greed,1.18732,219.480876,11
2024-10-17,Greed,2.09306,36.11496,9
2024-10-18,Greed,1.78975,333.219141,6
2024-10-19,Greed,1.46394,0.0,4
2024-10-20,Greed,52199.2564,389.155797,96
2024-10-21,Greed,109550.91603,2464.915564,173
2024-10-22,Greed,0.8949,0.0,3
2024-10-23,Greed,55.42812,-46.489941,18
2024-10-25,Greed,8005.94794,13235.862071,30
2024-10-27,Greed,1.33847,666.6623079999999,4
2024-10-28,Greed,6180.7549500000005,167.28016200000002,13
2024-10-29,Greed,6307.65733,801.170876,53
2024-10-30,Extreme Greed,16339.813900000001,9.150023,25
2024-10-31,Extreme Greed,6851.27557,1214.043811,48
2024-11-01,Extreme Greed,57939.29527,1040.475736,23
2024-11-02,Greed,0.58072,0.0,2
2024-11-03,Greed,129416.61818,0.0,6
2024-11-04,Greed,129421.2777,2799.410474,36
2024-11-05,Greed,2.96249,678.4759280000001,10
2024-11-06,Greed,11683.6737,2817.83723,15
2024-11-07,Extreme Greed,132565.51276,4493.353136,113
2024-11-08,Extreme Greed,8026.56244,-64.41354100000007,39
2024-11-09,Extreme Greed,77022.8972,102.90894,86
2024-11-10,Extreme Greed,840527.93569,991.114334,173
2024-11-11,Extreme Greed,3050577.40352,6749.630996,373
2024-11-12,Extreme Greed,144432.45464,3494.399394,171
2024-11-13,Extreme Greed,81116.91647000001,7846.402274,48
2024-11-14,Extreme Greed,5189260.03874,4563.509225,110
2024-11-15,Extreme Greed,21773.26548,4140.740438,149
2024-11-16,Extreme Greed,163784.50782,2769.521909,157
